X,CH1,CH2,
Second,Volt,Volt,
8.90000e-07,-1.68e+00,4.00e-03,
9.00000e-07,-1.60e+00,4.00e-03,
9.10000e-07,-1.52e+00,4.00e-03,
9.20000e-07,-1.36e+00,4.00e-03,
9.30000e-07,-1.12e+00,4.00e-03,
9.40000e-07,-8.00e-01,4.00e-03,
9.50000e-07,-5.60e-01,4.00e-03,
9.60000e-07,-3.20e-01,8.00e-03,
9.70000e-07,7.99e-02,8.00e-03,
9.80000e-07,3.20e-01,8.00e-03,
9.90000e-07,6.40e-01,8.00e-03,
1.00000e-06,8.80e-01,8.00e-03,
1.01000e-06,1.12e+00,8.00e-03,
1.02000e-06,1.36e+00,1.20e-02,
1.03000e-06,1.44e+00,1.20e-02,
1.04000e-06,1.52e+00,1.20e-02,
1.05000e-06,1.52e+00,1.20e-02,
1.06000e-06,1.52e+00,1.20e-02,
1.07000e-06,1.44e+00,1.20e-02,
1.08000e-06,1.28e+00,8.00e-03,
1.09000e-06,1.04e+00,1.20e-02,
1.10000e-06,8.00e-01,8.00e-03,
1.11000e-06,5.60e-01,8.00e-03,
1.12000e-06,2.40e-01,8.00e-03,
1.13000e-06,-7.99e-02,4.00e-03,
1.14000e-06,-2.40e-01,8.00e-03,
1.15000e-06,-6.40e-01,4.00e-03,
1.16000e-06,-8.80e-01,4.00e-03,
1.17000e-06,-1.12e+00,4.00e-03,
1.18000e-06,-1.44e+00,4.00e-03,
1.19000e-06,-1.52e+00,0.00e+00,
1.20000e-06,-1.68e+00,4.00e-03,
1.21000e-06,-1.68e+00,4.00e-03,
1.22000e-06,-1.68e+00,4.00e-03,
1.23000e-06,-1.68e+00,4.00e-03,
1.24000e-06,-1.52e+00,4.00e-03,
1.25000e-06,-1.36e+00,4.00e-03,
1.26000e-06,-1.20e+00,4.00e-03,
1.27000e-06,-9.60e-01,4.00e-03,
1.28000e-06,-7.20e-01,4.00e-03,
1.29000e-06,-4.00e-01,4.00e-03,
1.30000e-06,-7.99e-02,8.00e-03,
1.31000e-06,2.40e-01,8.00e-03,
1.32000e-06,5.60e-01,8.00e-03,
1.33000e-06,8.00e-01,1.20e-02,
1.34000e-06,1.04e+00,8.00e-03,
1.35000e-06,1.20e+00,1.20e-02,
1.36000e-06,1.36e+00,8.00e-03,
1.37000e-06,1.52e+00,1.20e-02,
1.38000e-06,1.52e+00,8.00e-03,
1.39000e-06,1.52e+00,1.20e-02,
1.40000e-06,1.52e+00,1.20e-02,
1.41000e-06,1.28e+00,8.00e-03,
1.42000e-06,1.12e+00,1.20e-02,
1.43000e-06,9.60e-01,8.00e-03,
1.44000e-06,6.40e-01,8.00e-03,
1.45000e-06,3.20e-01,8.00e-03,
1.46000e-06,7.99e-02,8.00e-03,
1.47000e-06,-3.20e-01,8.00e-03,
1.48000e-06,-4.80e-01,4.00e-03,
1.49000e-06,-8.00e-01,4.00e-03,
1.50000e-06,-1.04e+00,4.00e-03,
1.51000e-06,-1.36e+00,4.00e-03,
1.52000e-06,-1.52e+00,4.00e-03,
